timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2025-06-02 16:00:00+00:00,104376.12,104678.48,103985.09,104427.72,0.63065,1748894399999,65783.6774463,225,0.42141,43977.8193989,0.0
2025-06-02 20:00:00+00:00,104482.09,105917.06,104405.29,105860.43,1.07486,1748908799999,113226.9249753,542,0.72359,76247.8724823,0.0
2025-06-03 00:00:00+00:00,105768.14,106442.47,104949.0,105390.66,3.41634,1748923199999,361541.2502816,687,0.84425,89483.2618977,0.0
2025-06-03 04:00:00+00:00,105404.83,105482.89,105084.74,105260.76,0.77247,1748937599999,81345.5780056,207,0.67809,71413.4970884,0.0
2025-06-03 08:00:00+00:00,105257.83,105357.17,104909.52,105170.53,0.36633,1748951999999,38549.5568472,143,0.32668,34382.1335864,0.0
2025-06-03 12:00:00+00:00,105322.75,106761.46,105072.02,106670.28,2.14706,1748966399999,228265.1777152,359,1.03234,109757.0971071,0.0
2025-06-03 16:00:00+00:00,106637.8,106637.8,105611.15,106143.85,1.56919,1748980799999,166343.8280424,308,1.25108,132552.3593518,0.0
2025-06-03 20:00:00+00:00,106238.47,106238.47,105262.85,105317.93,0.62901,1748995199999,66473.303861,289,0.41405,43783.5419107,0.0
2025-06-04 00:00:00+00:00,105390.06,105853.16,105137.94,105604.98,0.79768,1749009599999,84201.1845995,232,0.37855,39965.1971757,0.0
2025-06-04 04:00:00+00:00,105604.15,105655.59,105259.5,105378.46,0.35608,1749023999999,37549.7020877,131,0.23101,24371.3288448,0.0
2025-06-04 08:00:00+00:00,105359.51,105973.03,105126.18,105126.18,0.77438,1749038399999,81793.0781145,133,0.63692,67277.939848,0.0
2025-06-04 12:00:00+00:00,105120.01,105551.41,104216.01,105343.17,1.52951,1749052799999,160666.186116,372,0.78772,82790.6059068,0.0
2025-06-04 16:00:00+00:00,105369.09,105451.1,104900.0,105058.88,0.71712,1749067199999,75445.4994032,222,0.18746,19725.6981586,0.0
2025-06-04 20:00:00+00:00,104900.0,105050.31,104476.25,104671.87,3.74387,1749081599999,391680.1299268,203,0.45548,47723.4909124,0.0
2025-06-05 00:00:00+00:00,104740.79,105200.0,104707.0,105021.83,0.89511,1749095999999,94031.1887001,174,0.67561,70999.6814195,0.0
2025-06-05 04:00:00+00:00,105034.96,105200.0,104408.02,104562.48,0.59488,1749110399999,62420.6697888,130,0.37156,39011.7237696,0.0
2025-06-05 08:00:00+00:00,104648.85,104894.22,104465.41,104857.61,0.66314,1749124799999,69448.691435,96,0.33371,34956.8308234,0.0
2025-06-05 12:00:00+00:00,104842.74,105932.94,103950.0,104578.4,2.86094,1749139199999,300477.8327916,442,1.12471,118338.8271115,0.0
2025-06-05 16:00:00+00:00,104515.32,104618.32,101833.98,101984.09,13.14007,1749153599999,1350100.1940593,946,4.16644,429040.9898404,0.0
2025-06-05 20:00:00+00:00,101900.02,102114.19,100425.95,101498.5,8.48376,1749167999999,859494.3419825,697,5.57098,564492.9523432,0.0
2025-06-06 00:00:00+00:00,101498.58,102535.43,101151.9,102535.19,1.89015,1749182399999,192412.7512174,330,1.03869,105749.2450718,0.0
2025-06-06 04:00:00+00:00,102534.96,103417.2,102374.96,103139.05,0.47909,1749196799999,49284.6370797,252,0.32659,33611.071156,0.0
2025-06-06 08:00:00+00:00,103272.75,103950.49,103272.75,103879.03,0.38121,1749211199999,39544.9059249,178,0.29622,30728.4075396,0.0
2025-06-06 12:00:00+00:00,103904.0,105255.62,103591.78,105097.11,1.70594,1749225599999,177978.6299445,487,1.08196,112966.8585396,0.0
2025-06-06 16:00:00+00:00,105103.61,105200.04,104054.07,104054.07,1.58431,1749239999999,165866.3235856,295,0.94153,98646.9280108,0.0
2025-06-06 20:00:00+00:00,104301.07,104597.5,104132.7,104301.01,0.68818,1749254399999,71841.7563373,134,0.53722,56091.4783386,0.0
2025-06-07 00:00:00+00:00,104364.9,104885.68,103853.14,104885.67,1.03924,1749268799999,108440.5124891,286,0.55373,57820.400371,0.0
2025-06-07 04:00:00+00:00,104789.87,105234.57,104600.54,104902.6,0.29689,1749283199999,31135.8749486,137,0.17614,18482.2362664,0.0
2025-06-07 08:00:00+00:00,104942.35,105251.76,104752.27,105141.05,0.16967,1749297599999,17819.3855827,90,0.10709,11245.6024455,0.0
2025-06-07 12:00:00+00:00,105141.04,105658.11,105089.66,105525.01,0.94388,1749311999999,99519.4722907,247,0.86492,91196.4915078,0.0
2025-06-07 16:00:00+00:00,105544.3,105824.6,105302.07,105672.87,0.92684,1749326399999,97903.3784216,220,0.31157,32888.6220042,0.0
2025-06-07 20:00:00+00:00,105753.75,105900.0,105477.87,105500.0,1.07942,1749340799999,114015.0992455,240,0.61934,65385.698185,0.0
2025-06-08 00:00:00+00:00,105500.0,105769.8,105370.12,105541.6,1.27052,1749355199999,134144.7959662,231,1.1302,119342.4630622,0.0
2025-06-08 04:00:00+00:00,105455.07,105663.12,105417.65,105417.65,0.13866,1749369599999,14634.9988109,86,0.0676,7136.4313018,0.0
2025-06-08 08:00:00+00:00,105440.97,105668.58,105034.44,105668.58,0.36407,1749383999999,38310.9940516,151,0.31955,33622.2605525,0.0
2025-06-08 12:00:00+00:00,105699.99,106067.9,105520.67,106003.06,1.15272,1749398399999,121912.5931321,235,0.47158,49888.6076326,0.0
2025-06-08 16:00:00+00:00,105945.01,106331.89,105945.01,106327.43,1.28148,1749412799999,136006.5336046,213,0.81126,86096.7143504,0.0
2025-06-08 20:00:00+00:00,106293.98,106382.5,105575.18,105790.58,0.79139,1749427199999,83805.3364992,229,0.33515,35479.2346755,0.0
2025-06-09 00:00:00+00:00,105742.83,105971.59,105359.84,105622.29,1.25674,1749441599999,132709.3741823,291,0.97171,102632.5998085,0.0
2025-06-09 04:00:00+00:00,105743.49,105743.49,105350.66,105490.64,0.42582,1749455999999,44965.4499955,133,0.21033,22222.194844,0.0
2025-06-09 08:00:00+00:00,105565.82,107582.24,105475.08,107577.99,1.89692,1749470399999,202933.1891894,674,1.44086,154110.2852667,0.0
2025-06-09 12:00:00+00:00,107582.24,107952.82,106878.99,107684.98,2.30007,1749484799999,247459.3988771,489,1.59562,171760.9270527,0.0
2025-06-09 16:00:00+00:00,107698.5,108700.0,107590.17,108544.98,2.14081,1749499199999,231999.6371344,541,1.48213,160673.5872006,0.0
2025-06-09 20:00:00+00:00,108570.71,110183.09,108382.2,110101.01,8.09458,1749513599999,887156.0995047,1246,5.8286,638785.2492729,0.0
2025-06-10 00:00:00+00:00,110101.01,110187.0,109000.0,109299.89,1.86056,1749527999999,203949.0370228,460,1.05323,115492.2845388,0.0
2025-06-10 04:00:00+00:00,109119.23,109585.73,109080.25,109251.06,0.58611,1749542399999,64106.6702389,184,0.55513,60722.9356481,0.0
2025-06-10 08:00:00+00:00,109109.74,109827.3,109039.95,109512.41,0.67089,1749556799999,73408.2420971,188,0.47599,52093.0932494,0.0
2025-06-10 12:00:00+00:00,109675.26,109840.05,108344.15,108913.54,2.53908,1749571199999,277137.9168613,418,1.463,159651.0969668,0.0
2025-06-10 16:00:00+00:00,109080.25,110141.77,108532.34,109532.95,1.27262,1749585599999,139366.306051,398,1.02181,111956.050443,0.0
2025-06-10 20:00:00+00:00,109532.32,110187.0,109286.52,110183.11,3.11949,1749599999999,342300.1190734,336,1.74837,191874.6247081,0.0
2025-06-11 00:00:00+00:00,110080.71,110200.0,109502.06,109776.02,0.39139,1749614399999,42983.8401435,186,0.23358,25666.2465687,0.0
2025-06-11 04:00:00+00:00,109775.08,110233.27,109367.33,109823.97,22.50075,1749628799999,2468562.5958031,1179,18.1972,1996675.2425886,0.0
2025-06-11 08:00:00+00:00,109647.92,109789.21,109227.74,109383.67,0.84595,1749643199999,92691.5568598,129,0.4344,47657.5197279,0.0
